Protegido,Controlado,Autoaislado,Individualista,Simbólico,CC
0.02375984004371723,0.20020701614873584,2.661053835405828e-06,0.05525979725234971,0.7207706855013618,8703071
7.289342904445525e-05,0.005929341752565757,1.1290653091030422e-06,0.848410931645978,0.14558570410710261,8703074
0.008348832749666,0.8744717108678048,1.5717578775895679e-06,0.005674096500995287,0.11150378812365623,8703051
0.0001896934371289895,0.017884089059729654,3.4232970387919592e-06,0.5177653102010068,0.4641574840050957,8703038
0.04161330625743211,0.41117632429736584,3.185797833372651e-06,0.01226428125890416,0.5349429023884645,8706001
0.006536475609519563,0.8358831206098578,2.2258131214640927e-06,0.013316239054852389,0.1442619389126488,8706007
5.041226521077307e-05,0.01536296367219035,0.0015273358029034379,0.0006817645380310195,0.9823775237216644,8706012
0.8903658427415836,0.08139976644981631,8.596708560552511e-07,4.331736424814312e-06,0.028229199401319086,8706021
0.003998961858272894,0.9043412702622484,7.510361571287356e-07,0.0012336394188155815,0.09042537742450617,8706031
0.003998961858272894,0.9043412702622484,7.510361571287356e-07,0.0012336394188155815,0.09042537742450617,8706036
0.007375315580666818,0.8297472631087596,2.6484809015836563e-06,0.01997513749339572,0.1428996353362764,8706022
2.5971008649971262e-05,0.039303207426784545,0.0004375877767119915,0.00104954505624844,0.9591836887316051,8707007
0.0071517380166306165,0.6030036577969722,1.8551780941829184e-06,0.010144716402862245,0.37969803260544077,8707008
0.9236365547788972,0.04774991495766746,1.6169489001175528e-06,2.96750600799448e-05,0.028582238254455224,8707011
1.4048388309300956e-09,3.7705094488372075e-06,2.4986492051573313e-09,0.9996426156312758,0.000353609955787466,8709002
7.198394356517994e-06,0.023504137660915678,1.0942759002915857e-07,0.8931776778788029,0.08331087663833506,8709033
0.005103901261244319,0.5254029664110598,2.3947569552926666e-06,0.021701890071338818,0.4477888474994016,8709039
1.205298328782468e-05,0.08497052982088674,1.8278453695606413e-07,0.6788390222571037,0.23617821215418472,8709021
0.008348832749666,0.8744717108678048,1.5717578775895679e-06,0.005674096500995287,0.11150378812365623,8709059
0.008348832749666,0.8744717108678048,1.5717578775895679e-06,0.005674096500995287,0.11150378812365623,8709047
0.011960655641554501,0.8372568152293334,1.3566971262602166e-06,0.009435610009081281,0.14134556242290447,8709049
0.7259923821588508,0.13463168534596187,3.7080329566668987e-06,0.011454859462854104,0.12791736499937664,8709052
0.011960655641554501,0.8372568152293334,1.3566971262602166e-06,0.009435610009081281,0.14134556242290447,10101011
0.00013327694485216487,0.005819751779022732,2.4109800025020203e-06,0.8014301067185363,0.19261445357758628,10101002
1.738309729984672e-06,0.05823108446719338,1.1988794040400723e-07,0.8801051318234121,0.06166192551172405,10101003
4.0393852081836334e-05,0.013760026089554747,3.227295914383263e-05,0.001741357091451335,0.9844259500077682,10101008
0.00010747853910631612,0.007118110875706581,2.5522979809741925e-06,0.9282009390669246,0.06457091922028142,10101009
0.008348832749666,0.8744717108678048,1.5717578775895679e-06,0.005674096500995287,0.11150378812365623,10101005
0.05823728779036323,0.9012956928826388,9.299374430061166e-05,0.008945107526982578,0.03142891805571499,10501001
1.95207613521825e-11,8.462660327377197e-12,0.9999639470694703,9.459929074340277e-08,3.595830325534415e-05,11101001
